INSERTION SORT;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
LOSOWY;0.002891;0.011382;0.025768;0.046005;0.072375;0.109309;0.141004;0.183797;0.230999;0.286496;0.343600;0.409654;0.480316;0.566714;0.640662;
MALEJACY;0.005778;0.023412;0.051559;0.092371;0.142653;0.217956;0.280884;0.367080;0.463990;0.569143;0.688869;0.818975;0.959781;1.125036;1.284597;
ROSNACY;0.000009;0.000017;0.000025;0.000033;0.000042;0.000049;0.000061;0.000070;0.000073;0.000080;0.000089;0.000096;0.000105;0.000116;0.000122;
STALY;0.000008;0.000017;0.000025;0.000036;0.000042;0.000050;0.000061;0.000068;0.000072;0.000080;0.000090;0.000096;0.000105;0.000116;0.000121;
VKSZTALTNY;0.002915;0.011357;0.026258;0.045782;0.071478;0.107750;0.142457;0.184048;0.230257;0.282999;0.344950;0.409460;0.479034;0.560722;0.645040;
SELECTION SORT;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
LOSOWY;0.005334;0.021008;0.046978;0.084194;0.130885;0.187882;0.256091;0.335184;0.422730;0.525893;0.629989;0.750176;0.878845;1.018618;1.169568;
MALEJACY;0.005198;0.019899;0.044893;0.079978;0.124750;0.179093;0.243214;0.319118;0.402222;0.499798;0.601771;0.714803;0.839824;0.972733;1.116886;
ROSNACY;0.005301;0.021080;0.047314;0.083582;0.129822;0.187610;0.254818;0.333430;0.421171;0.523872;0.627984;0.746067;0.880157;1.018557;1.167747;
STALY;0.005408;0.020726;0.046762;0.084387;0.129662;0.187426;0.255208;0.334168;0.421069;0.524320;0.630213;0.750291;0.876506;1.017341;1.168377;
VKSZTALTNY;0.005256;0.021021;0.047498;0.083166;0.130742;0.186435;0.254760;0.333374;0.421341;0.525101;0.629718;0.748624;0.878445;1.020048;1.169011;
MERGE SORT;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
LOSOWY;0.000266;0.000579;0.000960;0.001238;0.001616;0.001898;0.002374;0.002746;0.003056;0.003478;0.003709;0.004074;0.004560;0.004915;0.005219;
MALEJACY;0.000144;0.000320;0.000547;0.000698;0.000938;0.001088;0.001331;0.001494;0.001827;0.002029;0.002122;0.002314;0.002579;0.002749;0.002909;
ROSNACY;0.000150;0.000320;0.000528;0.000685;0.001002;0.001110;0.001296;0.001488;0.001821;0.001910;0.002096;0.002342;0.002618;0.002736;0.002902;
STALY;0.000150;0.000320;0.000522;0.000698;0.000989;0.001088;0.001299;0.001482;0.002016;0.001958;0.002090;0.002323;0.002563;0.002710;0.002938;
VKSZTALTNY;0.000144;0.000326;0.000557;0.000691;0.000947;0.001085;0.001306;0.001600;0.001808;0.001939;0.002093;0.002326;0.002662;0.002803;0.002963;
HEAP SORT;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
LOSOWY;0.000352;0.000736;0.001210;0.001610;0.002138;0.002717;0.003082;0.003622;0.004352;0.004480;0.005040;0.005552;0.005952;0.006634;0.007946;
MALEJACY;0.000275;0.000608;0.000950;0.001302;0.001674;0.002198;0.002400;0.002877;0.003389;0.003760;0.004006;0.004336;0.004656;0.005197;0.006550;
ROSNACY;0.000301;0.000640;0.001018;0.001360;0.001766;0.002160;0.002518;0.003040;0.003482;0.003738;0.004118;0.004509;0.004851;0.005533;0.006704;
STALY;0.000029;0.000064;0.000093;0.000118;0.000138;0.000179;0.000205;0.000243;0.000294;0.000330;0.000330;0.000365;0.000384;0.000454;0.000541;
VKSZTALTNY;0.000266;0.000560;0.000938;0.001232;0.001574;0.001955;0.002285;0.002906;0.003139;0.003498;0.003789;0.004109;0.004474;0.005053;0.006192;
